sheetname: IND_NewTechs
range: N8:AS247
filename: SubRES_TMPL/Before_SubRES_NewTechs_Industry.xlsx
tag: ~FI_T
types: TechName (object), *TechDesc (object), Comm-IN (object), Comm-OUT (object), Year (object), Start (object), LIFE (object), AFA (object), CAP2ACT (object), EFF (object), EFF~2020 (object), EFF~2025 (object), EFF~2030 (object), EFF~2035 (object), EFF~2040 (object), EFF~2045 (object), EFF~2050 (object), EFF~2055 (object), EFF~2060 (object), INVCOST (object), INVCOST~2020 (object), INVCOST~2025 (object), INVCOST~2030 (object), INVCOST~2035 (object), INVCOST~2040 (object), INVCOST~2045 (object), INVCOST~2050 (object), INVCOST~2055 (object), INVCOST~2060 (object), FLO_MARK (object), FLO_MARK~0 (object)
DARY-PH-MVR_TVR-ELC-Fan,New Dairy - Process Heat: MVR Evaporation TVR  - Electricity,INDELC,DARY-PH-MVR_TVR,2018,2020,25,0.68,31.536,18.02,18.02,18.02,18.02,18.02,18.02,18.02,18.02,18.02,18.02,17573,17573,17573,17573,17573,17573,17573,17573,17573,17573,,
DARY-PH-MVR_Fan-ELC-Fan,New Dairy - Process Heat: MVR Fan  - Electricity,INDELC,DARY-PH-MVR_Fan,2018,2020,25,0.68,31.536,43.4339175556657,43.4339175556657,43.4339175556657,43.4339175556657,43.4339175556657,43.4339175556657,43.4339175556657,43.4339175556657,43.4339175556657,43.4339175556657,17573,17573,17573,17573,17573,17573,17573,17573,17573,17573,,
DARY-PH-STM_HW-DSL-Boiler,New Dairy - Process Heat: Steam/Hot Water  - Diesel,INDDSL,DARY-PH-STM_HW,2018,2020,25,0.68,31.536,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,300,300,300,300,300,300,300,300,300,300,,
DARY-PH-STM_HW-GEO-Heat,New Dairy - Process Heat: Steam/Hot Water  - Geothermal,INDGEO,DARY-PH-STM_HW,2018,2020,10,0.68,31.536,0.970124,0.970124,0.970124,0.970124,0.970124,0.970124,0.970124,0.970124,0.970124,0.970124,100,100,100,100,100,100,100,100,100,100,0.31,5
DARY-PH-STM_HW-LPG-Boiler,New Dairy - Process Heat: Steam/Hot Water  - LPG,INDLPG,DARY-PH-STM_HW,2018,2020,25,0.68,31.536,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,350,350,350,350,350,350,350,350,350,350,,
DARY-PH-STM_HW-ELC-Boiler,New Dairy - Process Heat: Steam/Hot Water  - Electricity,INDELC,DARY-PH-STM_HW,2018,2020,25,0.5,31.536,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,0.3,5
DARY-PH-STM_HW-WOD-Boiler,New Dairy - Process Heat: Steam/Hot Water  - Wood,INDWOD,DARY-PH-STM_HW,2018,2020,25,0.5,31.536,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,,
DARY-PH-STM_HW-ELC-HPmp,New Dairy - Process Heat: Steam/Hot Water  - Electricity,INDELC,DARY-PH-STM_HW,2018,2020,20,0.5,31.536,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,0.3,5
DARY-Pump-ELC-Pump,New Dairy - Pumping  - Electricity,INDELC,DARY-Pump,2018,2020,10,0.5,31.536,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,2308,2308,2308,2308,2308,2308,2308,2308,2308,2308,,
DARY-Pump-DSL-Pump,New Dairy - Pumping  - Diesel,INDDSL,DARY-Pump,2018,2020,10,0.5,31.536,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,462,462,462,462,462,462,462,462,462,462,,
DARY-RFGR-ELC-Refriger,New Dairy - Refrigeration  - Electricity,INDELC,DARY-RFGR,2018,2020,1,1,31.536,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,
FOOD-MoTP-Stat-PET-st_ngn,"New Food - Motive Power, Stationary  - Petrol",INDPET,FOOD-MoTP-Stat,2018,2020,15,0.5,31.536,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,350,350,350,350,350,350,350,350,350,350,,
FOOD-MoTP-Stat-DSL-st_ngn,"New Food - Motive Power, Stationary  - Diesel",INDDSL,FOOD-MoTP-Stat,2018,2020,20,0.5,31.536,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,455,455,455,455,455,455,455,455,455,455,,
FOOD-MoTP-Stat-ELC-Motor,"New Food - Motive Power, Stationary  - Electricity",INDELC,FOOD-MoTP-Stat,2018,2020,10,0.5,31.536,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,280,280,280,280,280,280,280,280,280,280,,
FOOD-MoTP-Stat-ELC-VSD-Mtr,"New Food - Motive Power, Stationary  - Electricity",INDELC,FOOD-MoTP-Stat,2018,2020,10,0.5,31.536,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,336,336,336,336,336,336,336,336,336,336,0.5,5
FOOD-PH-DirH-NGA-Burner,New Food - Process Heat: Direct Heat  - Natural Gas,INDNGA,FOOD-PH-DirH,2018,2020,13,0.9,31.536,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,313,313,313,313,313,313,313,313,313,313,,
FOOD-PH-DirH-ELC-Heater,New Food - Process Heat: Direct Heat  - Electricity,INDELC,FOOD-PH-DirH,2018,2020,3,0.9,31.536,0.999700089973008,0.999700089973008,0.999700089973008,0.999700089973008,0.999700089973008,0.999700089973008,0.999700089973008,0.999700089973008,0.999700089973008,0.999700089973008,80,80,80,80,80,80,80,80,80,80,,
FOOD-PH-OVN-NGA-Oven,New Food - Process Heat: Oven  - Natural Gas,INDNGA,FOOD-PH-OVN,2018,2020,10,0.9,31.536,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,100,100,100,100,100,100,100,100,100,100,,
FOOD-PH-OVN-ELC-Oven,New Food - Process Heat: Oven  - Electricity,INDELC,FOOD-PH-OVN,2018,2020,10,0.9,31.536,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,100,100,100,100,100,100,100,100,100,100,,
FOOD-PH-OVN-COA-Oven,New Food - Process Heat: Oven  - Coal,INDCOA,FOOD-PH-OVN,2018,2020,10,0.9,31.536,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,100,100,100,100,100,100,100,100,100,100,,
FOOD-PH-STM_HW-WOD-Boiler,New Food - Process Heat: Steam/Hot Water  - Wood,INDWOD,FOOD-PH-STM_HW,2018,2020,25,0.5,31.536,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,,
FOOD-PH-STM_HW-BGS-Heat,New Food - Process Heat: Steam/Hot Water  - Biogas,INDBIG,FOOD-PH-STM_HW,2018,2020,10,0.5,31.536,0.970124,0.970124,0.970124,0.970124,0.970124,0.970124,0.970124,0.970124,0.970124,0.970124,100,100,100,100,100,100,100,100,100,100,0.05,5
FOOD-PH-STM_HW-ELC-HPmp,New Food - Process Heat: Steam/Hot Water  - Electricity,INDELC,FOOD-PH-STM_HW,2018,2020,20,0.5,31.536,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,0.3,5
FOOD-PH-STM_HW-FOL-Heat,New Food - Process Heat: Steam/Hot Water  - Fuel Oil,INDFOL,FOOD-PH-STM_HW,2018,2020,25,0.5,31.536,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,300,300,300,300,300,300,300,300,300,300,0.05,5
FOOD-PH-STM_HW-DSL-Boiler,New Food - Process Heat: Steam/Hot Water  - Diesel,INDDSL,FOOD-PH-STM_HW,2018,2020,25,0.68,31.536,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,300,300,300,300,300,300,300,300,300,300,,
FOOD-PH-STM_HW-LPG-Heat,New Food - Process Heat: Steam/Hot Water  - LPG,INDLPG,FOOD-PH-STM_HW,2018,2020,25,0.5,31.536,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,350,350,350,350,350,350,350,350,350,350,0.05,5
FOOD-PH-STM_HW-COA-Boiler,New Food - Process Heat: Steam/Hot Water  - Coal,INDCOA,FOOD-PH-STM_HW,2018,2020,25,0.68,31.536,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,750,750,750,750,750,750,750,750,750,750,,
FOOD-PH-STM_HW-NGA-Boiler,New Food - Process Heat: Steam/Hot Water  - Natural Gas,INDNGA,FOOD-PH-STM_HW,2018,2020,25,0.68,31.536,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,250,250,250,250,250,250,250,250,250,250,,
FOOD-PH-STM_HW-ELC-Boiler,New Food - Process Heat: Steam/Hot Water  - Electricity,INDELC,FOOD-PH-STM_HW,2018,2020,25,0.5,31.536,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,0.3,5
FOOD-PH-STM_HW-ELC-MWO,New Food - Process Heat: Steam/Hot Water  - Electricity,INDELC,FOOD-PH-STM_HW,2018,2020,25,0.68,31.536,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,0.05,5
FOOD-PH-STM_HW-ELC-ELCTECH,New Food - Process Heat: Steam/Hot Water  - Electricity,INDELC,FOOD-PH-STM_HW,2018,2020,25,0.68,31.536,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,0.05,5
FOOD-Pump-ELC-Pump,New Food - Pumping  - Electricity,INDELC,FOOD-Pump,2018,2020,10,0.5,31.536,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,2308,2308,2308,2308,2308,2308,2308,2308,2308,2308,,
FOOD-Pump-DSL-Pump,New Food - Pumping  - Diesel,INDDSL,FOOD-Pump,2018,2020,10,0.5,31.536,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,462,462,462,462,462,462,462,462,462,462,,
FOOD-RFGR-ELC-Refriger,New Food - Refrigeration  - Electricity,INDELC,FOOD-RFGR,2018,2020,1,1,31.536,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,
IIS-FDSTCK-COA-_,New Iron/Steel - Steel production (feedstock)  - Coal,COA,IIS-FDSTCK,2018,2020,100,0.9,31.536,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,
IIS-MoTP-Stat-DSL-st_ngn,"New Iron/Steel - Motive Power, Stationary  - Diesel",INDDSL,IIS-MoTP-Stat,2018,2020,20,0.5,31.536,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,455,455,455,455,455,455,455,455,455,455,,
IIS-MoTP-Stat-ELC-Motor,"New Iron/Steel - Motive Power, Stationary  - Electricity",INDELC,IIS-MoTP-Stat,2018,2020,10,0.5,31.536,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,280,280,280,280,280,280,280,280,280,280,,
IIS-MoTP-Stat-PET-st_ngn,"New Iron/Steel - Motive Power, Stationary  - Petrol",INDPET,IIS-MoTP-Stat,2018,2020,15,0.5,31.536,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,350,350,350,350,350,350,350,350,350,350,,
IIS-MoTP-Stat-ELC-VSD-Mtr,"New Iron/Steel - Motive Power, Stationary  - Electricity",INDELC,IIS-MoTP-Stat,2018,2020,10,0.5,31.536,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,336,336,336,336,336,336,336,336,336,336,0.5,5
IIS-PH-FURN-COA-Furn,New Iron/Steel - Process Heat: Furnace/Kiln  - Coal,INDCOA,IIS-PH-FURN,2018,2020,25,0.9,31.536,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,63,63,63,63,63,63,63,63,63,63,0.03,5
IIS-PH-FURN-ELC-Furn,New Iron/Steel - Process Heat: Furnace/Kiln  - Electricity,INDELC,IIS-PH-FURN,2018,2020,25,0.9,31.536,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,63,63,63,63,63,63,63,63,63,63,,
IIS-PH-FURN-NGA-Furn,New Iron/Steel - Process Heat: Furnace/Kiln  - Natural Gas,INDNGA,IIS-PH-FURN,2018,2020,25,0.9,31.536,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,63,63,63,63,63,63,63,63,63,63,0.56,5
IIS-PH-FURN-WOD-Furn,New Iron/Steel - Process Heat: Furnace/Kiln  - Wood,INDWOD,IIS-PH-FURN,2018,2020,25,0.9,31.536,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,63,63,63,63,63,63,63,63,63,63,0.24,5
IIS-PH-FURN-LPG-Furn,New Iron/Steel - Process Heat: Furnace/Kiln  - LPG,INDLPG,IIS-PH-FURN,2018,2020,25,0.9,31.536,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,63,63,63,63,63,63,63,63,63,63,0.07,5
MEAT-MoTP-Stat-DSL-st_ngn,"New Meat - Motive Power, Stationary  - Diesel",INDDSL,MEAT-MoTP-Stat,2018,2020,20,0.5,31.536,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,455,455,455,455,455,455,455,455,455,455,,
MEAT-MoTP-Stat-ELC-Motor,"New Meat - Motive Power, Stationary  - Electricity",INDELC,MEAT-MoTP-Stat,2018,2020,10,0.5,31.536,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,280,280,280,280,280,280,280,280,280,280,,
MEAT-MoTP-Stat-PET-st_ngn,"New Meat - Motive Power, Stationary  - Petrol",INDPET,MEAT-MoTP-Stat,2018,2020,15,0.5,31.536,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,350,350,350,350,350,350,350,350,350,350,,
